Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
armorRangerGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n強化されたグリップと精度で害獣を仕留める。ライフルのダメージが上昇する。\n\nフルセットボーナス：ライフルのリロード速度が上昇する。,,,,,,,
armorRangerHelmetDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nレンジャーは冷酷だ、特に銃を構えている時は。ライフルの取り回しが向上する。\n\nフルセットボーナス：ライフルのリロード速度が上昇する。,,,,,,,
armorRangerOutfitDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n頑丈な革のダスターでより長く戦い抜く。最大体力が上昇する。\n\nフルセットボーナス：ライフルのリロード速度が上昇する。,,,,,,,
buffAssassinSetBonusDesc,buffs,Buff,,,,,,,,,比類なき機敏さで、アサシンは影に溶け消える。\n\n身を隠す速度が{cvar(.armorAssassinFSBDisplay:0)}%上昇し、弓とクロスボウのダメージが{cvar(.armorAssassinFSBDisplay:0)}%上昇する。,,,,,,,
armorAssassinGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n器用さは怒りを解き放つ鍵。全近接武器の攻撃速度と全銃器の毎分発射数が上昇する。\n\nフルセットボーナス：身を隠す速度と弓・クロスボウのダメージが上昇する。,,,,,,,
armorAssassinBootsDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n静かに、しかし致命的に。スニーク中にスプリントしても余計な音が鳴らなくなる。\n\nフルセットボーナス：身を隠す速度と弓・クロスボウのダメージが上昇する。,,,,,,,
armorAssassinHelmetDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n誰にも気付かれない。スニーク中のダメージが上昇する。\n\nフルセットボーナス：身を隠す速度と弓・クロスボウのダメージが上昇する。,,,,,,,
armorAssassinOutfitDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n見られず、聞かれず、傷つかず。スニーク性能が向上する。\n\nフルセットボーナス：身を隠す速度と弓・クロスボウのダメージが上昇する。,,,,,,,
armorFarmerGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nしっかり握って動くものを残らず撃て。動物に与えるダメージと解体時の入手量が上昇する。\n\nフルセットボーナス：飲食時の体力とスタミナ回復量が上昇する。,,,,,,,
armorScavengerBootsDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nカスタムフィットのブーツでより速く解体する。走行速度が上昇する。\n\nフルセットボーナス：ルートステージが上昇する。,,,,,,,
armorScavengerGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n拳を保護し、解体作業に集中できる。解体時のスタミナ消費量が減少する。\n\nフルセットボーナス：ルートステージが上昇する。,,,,,,,
armorScavengerHelmetDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nあれだけのモノを分解すれば、何かを学ばないわけがない。解体時の入手資材量と物々交換の値引き率が上昇する。\n\nフルセットボーナス：ルートステージが上昇する。,,,,,,,
armorCommandoGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nトリガーを引く指を守りながら痛みを与える。マシンガンのダメージが上昇する。\n\nフルセットボーナス：回復アイテムの効果発動が高速化する。,,,,,,,
armorCommandoOutfitDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n真のコマンドーは怯まず耐える。重症デバフからの回復速度が上昇する。\n\nフルセットボーナス：回復アイテムの効果発動が高速化する。,,,,,,,
armorCommandoHelmetDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n飛んでくる攻撃から頭蓋骨を守る。スタン耐性が上昇する。\n\nフルセットボーナス：回復アイテムの効果発動が高速化する。,,,,,,,
armorNomadGlovesDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n放射線吸収素材と一体化したこのグローブは、被曝した敵に増加ダメージを与える。レイディエイテッド／チャージド／インファーナルへの近接ダメージが上昇する。\n\nフルセットボーナス：スタミナ回復コストが減少する。,,,,,,,
armorLumberjackBootsDesc,items,Clothes,,,,,,,,,ライトアーマー\n足首にフィットするサポートが森林での疲労を防ぐ。スプリント時のスタミナ消費量が減少する。\n\nフルセットボーナス：\n斧使用時のスタミナ消費が減少し、木材の収穫量が100%増加する。,,,,,,,
armorLumberjackGlovesDesc,items,Clothes,,,,,,,,,ライトアーマー\n斧が酷い武器だなんて誰が言った？斧の近接ダメージが上昇する。\n\nフルセットボーナス：\n斧使用時のスタミナ消費が減少し、木材の収穫量が100%増加する。,,,,,,,
armorLumberjackHelmetDesc,items,Clothes,,,,,,,,,ライトアーマー\n材木置き場のボスになれ。木材の収穫量が上昇する。\n\nフルセットボーナス：\n斧使用時のスタミナ消費が減少し、木材の収穫量が100%増加する。,,,,,,,
armorLumberjackOutfitDesc,items,Clothes,,,,,,,,,ライトアーマー\nポケットだらけのベストで荷物に余裕ができる。所持容量が増加する。\n\nフルセットボーナス：\n斧使用時のスタミナ消費が減少し、木材の収穫量が100%増加する。,,,,,,,
buffMinerSetBonusDesc,buffs,Buff,,,,,,,,,採掘者は道具を過剰に消耗させず、効率的に資源を引き出す専門知識を持つ。\n\n採掘ツールの耐久消耗が{cvar(.armorMinerFSBDisplay:0)}%減少し、採掘収穫量が{cvar(.armorMinerFSBDisplay:0)}%増加する。,,,,,,,
armorMinerBootsDesc,items,Clothes,,,,,,,,,ヘビーアーマー\nスチール先端のブーツが足を守る。安全な落下距離が伸びる。\n\nフルセットボーナス：\n採掘ツールの耐久消耗が減少し、採掘収穫量が増加する。,,,,,,,
armorMinerGlovesDesc,items,Clothes,,,,,,,,,ヘビーアーマー\nこのグローブで岩盤をプロのように砕く。採掘ツールのダメージが上昇する。\n\nフルセットボーナス：\n採掘ツールの耐久消耗が減少し、採掘収穫量が増加する。,,,,,,,
armorMinerHelmetDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n光の道筋がより多くの収穫へ。採掘ツールでの収穫量が上昇する。\n\nフルセットボーナス：\n採掘ツールの耐久消耗が減少し、採掘収穫量が増加する。,,,,,,,
armorMinerOutfitDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n人間工学に基づくフィット感で疲れずに一晩中採掘できる。採掘ツールのスタミナ消費が減少する。\n\nフルセットボーナス：\n採掘ツールの耐久消耗が減少し、採掘収穫量が増加する。,,,,,,,
buffRaiderSetBonusDesc,buffs,Buff,,,,,,,,,レイダーは略奪時の素早さが命だ。ショットガンのリロード速度を上げる。\n\nショットガンのリロード時間が{cvar(.armorRaiderFSBDisplay:0)}%短縮される。,,,,,,,
armorRaiderBootsDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n衝撃吸収ソールが落下を和らげる。安全な落下距離が伸びる。\n\nフルセットボーナス：ショットガンのリロード速度が上昇する。,,,,,,,
armorRaiderHelmetDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n戦場の混沌は耳を揺さぶるが、このヘルメットは揺るがせない。スタン耐性が上昇する。\n\nフルセットボーナス：ショットガンのリロード速度が上昇する。,,,,,,,
armorRaiderOutfitDesc,items,Clothes,,,,,,,,,ヘビーアーマー\nほぼ貫通不能な防御は、その重さに見合う価値がある。重症デバフの深刻度が低減する。\n\nフルセットボーナス：ショットガンのリロード速度が上昇する。,,,,,,,
armorRaiderGlovesDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n金属プレートがショットガンの反動制御を高める。ショットガンのダメージが上昇する。\n\nフルセットボーナス：ショットガンのリロード速度が上昇する。,,,,,,,
buffNerdSetBonusDesc,buffs,Buff,,,,,,,,,道具と武器の仕組みを理解することで、オタクは適切に扱い長持ちさせられる。\n\n道具と武器の劣化が{cvar(.armorNerdFSBDisplay:0)}%遅くなり、追加で1体ロボットを展開できる。,,,,,,,
armorNerdHelmetDesc,items,Clothes,,,,,,,,,ヘビーアーマー\nデートには勝てないかもしれないが、スキル上げには勝てる。雑誌を読んだ時、確率でクラフトスキルポイントを2つ獲得する。\n\nフルセットボーナス：道具と武器の劣化が遅くなり、追加で1体ロボットを展開できる。,,,,,,,
armorNerdOutfitDesc,items,Clothes,,,,,,,,,ヘビーアーマー\nファッションセンスの欠如に並ぶのは、向上したスタミナだけだ。最大スタミナが上昇する。\n\nフルセットボーナス：道具と武器の劣化が遅くなり、追加で1体ロボットを展開できる。,,,,,,,
armorNerdBootsDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n弾むような足取りに保護を。安全な落下距離が伸びる。\n\nフルセットボーナス：道具と武器の劣化が遅くなり、追加で1体ロボットを展開できる。,,,,,,,
armorNerdGlovesDesc,items,Clothes,,,,,,,,,ヘビーアーマー\n冷たく汗ばんだ柔肌の手を風雨から守り、知的なヤバい奴になれ。知能系武器のダメージが上昇する。\n\nフルセットボーナス：道具と武器の劣化が遅くなり、追加で1体ロボットを展開できる。,,,,,,,
armorBikerBootsDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n革のバイカーブーツほどイカしたものはない。近接武器のスタミナ消費が減少する。\n\nフルセットボーナス：\nアーマー値が上昇し、ミニバイクとモーターサイクルの燃料消費が減少する。,,,,,,,
armorBikerGlovesDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nパンチを強化し、見た目も悪辣に。近接武器のダメージが上昇する。\n\nフルセットボーナス：\nアーマー値が上昇し、ミニバイクとモーターサイクルの燃料消費が減少する。,,,,,,,
armorBikerHelmetDesc,items,Clothes,,,,,,,,,ミディアムアーマー\n威圧的に見えながら攻撃を受け止める。スタン耐性が上昇する。\n\nフルセットボーナス：\nアーマー値が上昇し、ミニバイクとモーターサイクルの燃料消費が減少する。,,,,,,,
armorBikerOutfitDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nワルそうな見た目と気分。最大体力が上昇する。\n\nフルセットボーナス：\nアーマー値が上昇し、ミニバイクとモーターサイクルの燃料消費が減少する。,,,,,,,

# === CATUI corrections ===
lootTooltipEmpty,UI,Use Prompt,,,,,,,,,{1} [FFAD1F](空)[-],,,,,,,
tooltipJammed,UI,Menu,,,,,,,,,[43CF7C]{0}[-] {1}を使用 [FF5252](作動不良)[-],,,,,,,
ObjectiveStayWithin_keyword,Quest,Keywords,,,,,,,,,範囲内に留まる,,,,,,,
lootTooltipNew,UI,Use Prompt,,,,,,,,,[43CF7C]{0}[-]で{1}を調べる [43CF7C](未使用)[-],,,,,,,
lootTooltipTouched,UI,Use Prompt,,,,,,,,,[43CF7C]{0}[-]で{1}を調べる,,,,,,,

# === POI Scourge corrections (Infestation -> 蔓延 / tone unify) ===
scourgeInfestationBeacon,items,Item,,,,,,,,,蔓延ビーコン,,,,,,,
scourgeInfestationBeaconDesc,items,Item,,,,,,,,,POI内でこれを使用すると、その場所の蔓延クエスト（ハードモード）が発生する。,,,,,,,
quest_scourge_infestation_subtitle,quests,Quest,,,,,,,,,蔓延を駆除する,,,,,,,
quest_scourge_infestation_description,quests,Quest,,,,,,,,,群れを挑発した。エリアを掃討せよ！,,,,,,,
quest_scourge_infestation_tutorial,quests,Quest,,,,,,,,,群れを挑発する,,,,,,,
quest_scourge_infestation_tutorial_subtitle,quests,Quest,,,,,,,,,蔓延ビーコンを使用する,,,,,,,
quest_scourge_infestation_tutorial_description,quests,Quest,,,,,,,,,POI内で蔓延ビーコンを使用して群れを召喚し、より上等な報酬のために場所をリセットする。,,,,,,,
scourge_msg_infestation_active,CSharp,Text,,,,,,,,,すでに蔓延中！,,,,,,,
scourge_msg_no_rally,CSharp,Text,,,,,,,,,このPOIでは蔓延を発生させられない（ラリーポイント無し）。,,,,,,,
scourge_msg_reward_chat,CSharp,Text,,,,,,,,,[00FF00]{0}が{1}を駆除した。[-] [FFFF00]{2}トークン獲得。[-],,,,,,,
scourge_msg_infested_tag,CSharp,Text,,,,,,,,,[FF0000](蔓延中)[-],,,,,,,
obj_scourge_clear_infested,quests,Quest,,,,,,,,,蔓延中のPOIを駆除する,,,,,,,
scourge_buy_station_link,Quest,Dialogs,,,,,,,,,スカージ交換ステーションを買いたい。(10 スカージトークン),,,,,,,
scourge_turn_in_points_link,Quest,Dialogs,,,,,,,,,ゾンビを駆除した場所について聞いてくれ [十分なら、トレーダーティアポイントを10獲得、[DECEA3]{0}[-] 未使用ポイント]。,,,,,,,
scourge_turn_in_points_needs,Quest,Dialogs,,,,,,,,,もっとPOIを駆除したら、征服譚を聞かせよう。,,,,,,,

# === Oakraven Ammo Press ===
ammopress,blocks,Workstation,,,,,,,,,オークレイブン弾薬プレス,,,,,,,
ammopressDesc,blocks,Block,,,,,,,,,オークレイブン弾薬プレスは、コンパクトな単体装置で弾薬を製作できる。弾薬パックの製作はワークベンチの半分の時間で済む。,,,,,,,
workstationsT3-4OAP,progression,Attribute,,,,,,,,,ティア2: オークレイブン弾薬プレス,,,,,,,
lblCategoryAmmoPressRegularAmmo,UI,Tooltip,,,,,,,,,通常弾,,,,,,,
lblCategoryAmmoPressHPAmmo,UI,Tooltip,,,,,,,,,HP弾,,,,,,,
lblCategoryAmmoPressAPAmmo,UI,Tooltip,,,,,,,,,AP弾,,,,,,,

# === LRS Ammo Recycling ===
recycledAmmoSonjaDesc,items,item,,,,,,,,,弾薬をリサイクルして得た素材を、便利なパックに詰めたもの。\n顔の前で爆発しなかったのは幸運だった。\n\n開封して素材を取り出せ。,,,,,,,
recycledAmmoSonja9mm,items,item,,,,,,,,,リサイクル 9mm弾,,,,,,,
recycledAmmoSonja9mmHP,items,item,,,,,,,,,リサイクル 9mm弾 HP,,,,,,,
recycledAmmoSonja9mmAP,items,item,,,,,,,,,リサイクル 9mm弾 AP,,,,,,,
recycledAmmoSonja44,items,item,,,,,,,,,リサイクル Magnum .44弾,,,,,,,
recycledAmmoSonja44HP,items,item,,,,,,,,,リサイクル Magnum .44弾 HP,,,,,,,
recycledAmmoSonja44AP,items,item,,,,,,,,,リサイクル Magnum .44弾 AP,,,,,,,
recycledAmmoSonja762,items,item,,,,,,,,,リサイクル 7.62弾,,,,,,,
recycledAmmoSonja762HP,items,item,,,,,,,,,リサイクル 7.62弾 HP,,,,,,,
recycledAmmoSonja762AP,items,item,,,,,,,,,リサイクル 7.62弾 AP,,,,,,,
recycledAmmoSonjaShell,items,item,,,,,,,,,リサイクル ショットガン弾（バックショット）,,,,,,,
recycledAmmoSonjaSlug,items,item,,,,,,,,,リサイクル ショットガン弾（スラッグ）,,,,,,,
recycledAmmoSonjaBreachingSlug,items,item,,,,,,,,,リサイクル ショットガン弾（ブリーチングスラッグ）,,,,,,,
recycledAmmoSonjaRocketFrag,items,item,,,,,,,,,リサイクル フラグロケット,,,,,,,
recycledAmmoSonjaRocketHE,items,item,,,,,,,,,リサイクル HEロケット,,,,,,,
recycledAmmoSonjathrownGrenade,items,item,,,,,,,,,リサイクル 手榴弾,,,,,,,
recycledAmmoSonjathrownContactGrenade,items,item,,,,,,,,,リサイクル 着発信管手榴弾,,,,,,,
recycledAmmoSonjaJunkTurretRegular,items,item,,,,,,,,,リサイクル ジャンクタレット弾,,,,,,,
recycledAmmoSonjaJunkTurretShell,items,item,,,,,,,,,リサイクル ジャンクタレット用ショットシェル,,,,,,,
recycledAmmoSonjaJunkTurretAP,items,item,,,,,,,,,リサイクル ジャンクタレットAP弾,,,,,,,
recycledAmmoSonjaIZ556,items,item,,,,,,,,,リサイクル 5.56弾,,,,,,,
recycledAmmoSonjaIZ556HP,items,item,,,,,,,,,リサイクル 5.56弾 HP,,,,,,,
recycledAmmoSonjaIZ556AP,items,item,,,,,,,,,リサイクル 5.56弾 AP,,,,,,,
recycledAmmoSonjaIZ45ACP,items,item,,,,,,,,,リサイクル 45 ACP弾,,,,,,,
recycledAmmoSonjaIZ45ACPHP,items,item,,,,,,,,,リサイクル 45 ACP弾 HP,,,,,,,
recycledAmmoSonjaIZ45ACPAP,items,item,,,,,,,,,リサイクル 45 ACP弾 AP,,,,,,,
recycledAmmoSonjaRPGTraining,items,item,,,,,,,,,リサイクル 訓練用ロケット弾,,,,,,,
recycledAmmoSonjaRPGHE,items,item,,,,,,,,,リサイクル HEロケット,,,,,,,
recycledAmmoSonjaRPGIncendiary,items,item,,,,,,,,,リサイクル 焼夷ロケット,,,,,,,
recycledAmmoSonjaGrenadeTraining,items,item,,,,,,,,,リサイクル 25mm訓練弾,,,,,,,
recycledAmmoSonjaGrenadeFRAGS,items,item,,,,,,,,,リサイクル 25mm榴散弾,,,,,,,
recycledAmmoSonjaGrenadeHE,items,item,,,,,,,,,リサイクル 25mm榴弾,,,,,,,
recycledAmmoSonjaIZ762ExFrag,items,item,,,,,,,,,リサイクル 7.62 Explosive Frags,,,,,,,
recycledAmmoSonjaIZDragon,items,item,,,,,,,,,リサイクル ドラゴンブレス弾,,,,,,,
recycledAmmoSonjaIZPremiumShells,items,item,,,,,,,,,リサイクル 12ゲージマグナム,,,,,,,
recycledAmmoSonjaHellFire,items,item,,,,,,,,,リサイクル ヘルファイア弾,,,,,,,
recycledAmmoSonjaFlareRound,items,item,,,,,,,,,リサイクル フレア弾,,,,,,,
recycledAmmoSonjaGrenadeEnergy,items,item,,,,,,,,,リサイクル エネルギーグレネード,,,,,,,
recycledAmmoSonjaRocketEnergy,items,item,,,,,,,,,リサイクル エネルギーロケット,,,,,,,
recycledAmmoSonjathrownGrenadeEMP,items,item,,,,,,,,,リサイクル EMP手榴弾,,,,,,,
recycledAmmoSonjaNanoEnergyCell,items,item,,,,,,,,,リサイクル ナノエネルギーセル,,,,,,,
recycledAmmoSonjaNanoEnergyCellAP,items,item,,,,,,,,,リサイクル ナノエネルギーセル AP,,,,,,,
recycledAmmoSonjaHeavyEnergyCell,items,item,,,,,,,,,リサイクル ヘビーエネルギーセル,,,,,,,
recycledAmmoSonjaHeavyEnergyCellAP,items,item,,,,,,,,,リサイクル ヘビーエネルギーセル AP,,,,,,,
recycledAmmoSonjaShotgunEnergyCell,items,item,,,,,,,,,リサイクル ショットガンエネルギーセル,,,,,,,
recycledAmmoSonjaShotgunEnergyCellAP,items,item,,,,,,,,,リサイクル ショットガンエネルギーセル AP,,,,,,,
recycledAmmoSonjaZeus,items,item,,,,,,,,,リサイクル ゼウス弾,,,,,,,
recycledAmmoSonjaRedWidow,items,item,,,,,,,,,リサイクル レッドアロー,,,,,,,
recycledAmmoSonjaBlueWidow,items,item,,,,,,,,,リサイクル ブルーアロー,,,,,,,
recycledAmmoSonjaRailgun,items,item,,,,,,,,,リサイクル レールガン弾,,,,,,,
recycledAmmoSonjaEnergyRound,items,item,,,,,,,,,リサイクル エネルギー弾,,,,,,,
recycledAmmoSonjaEnergyMagnum,items,item,,,,,,,,,リサイクル エネルギーマグナム弾,,,,,,,
recycledAmmoSonjaEnergyRifle,items,item,,,,,,,,,リサイクル エネルギーライフル弾,,,,,,,
recycledAmmoSonjaEnergyShell,items,item,,,,,,,,,リサイクル エネルギーショットガン弾,,,,,,,
recycledAmmoSonjaFE540mmExplosive,items,item,,,,,,,,,リサイクル 40mm 榴弾グレネード,,,,,,,
recycledAmmoSonjaFE540mmIncendiary,items,item,,,,,,,,,リサイクル 40mm 焼夷グレネード,,,,,,,
recycledAmmoSonjaFE550BMG,items,item,,,,,,,,,リサイクル .50 BMG弾,,,,,,,
recycledAmmoSonjaFE550BMGIncendiary,items,item,,,,,,,,,リサイクル .50 BMG Incendiary弾,,,,,,,
recycledAmmoSonjaFE550BMGAP,items,item,,,,,,,,,リサイクル .50 BMG弾 AP,,,,,,,
recycledAmmoSonjaFE5556,items,item,,,,,,,,,リサイクル 5.56弾,,,,,,,
recycledAmmoSonjaFE5556HP,items,item,,,,,,,,,リサイクル 5.56弾 HP,,,,,,,
recycledAmmoSonjaFE5556AP,items,item,,,,,,,,,リサイクル 5.56弾 AP,,,,,,,
recycledAmmoSonjaW10mm,items,item,,,,,,,,,リサイクル 10mm弾,,,,,,,
recycledAmmoSonjaW10mmHP,items,item,,,,,,,,,リサイクル 10mm弾 HP,,,,,,,
recycledAmmoSonjaW10mmAP,items,item,,,,,,,,,リサイクル 10mm弾 AP,,,,,,,
recycledAmmoSonjaW45acp,items,item,,,,,,,,,リサイクル 45 ACP弾,,,,,,,
recycledAmmoSonjaW45acpHP,items,item,,,,,,,,,リサイクル 45 ACP弾 HP,,,,,,,
recycledAmmoSonjaW45acpAP,items,item,,,,,,,,,リサイクル 45 ACP弾 AP,,,,,,,
recycledAmmoSonjaWshotgunMagnumBukshot,items,item,,,,,,,,,リサイクル ショットガン弾（マグナム・バックショット）,,,,,,,
recycledAmmoSonjaW556b,items,item,,,,,,,,,リサイクル 5.56弾,,,,,,,
recycledAmmoSonjaW556bHP,items,item,,,,,,,,,リサイクル 5.56弾 HP,,,,,,,
recycledAmmoSonjaW556bAP,items,item,,,,,,,,,リサイクル 5.56弾 AP,,,,,,,
recycledAmmoSonjaWEC,items,item,,,,,,,,,リサイクル エネルギーセル,,,,,,,
recycledAmmoSonjaWECBulk,items,item,,,,,,,,,リサイクル バルクエネルギーセル,,,,,,,
recycledAmmoSonjaWECMax,items,item,,,,,,,,,リサイクル マックスチャージエネルギーセル,,,,,,,
recycledAmmoSonjaWMFC,items,item,,,,,,,,,リサイクル マイクロフュージョンセル,,,,,,,
recycledAmmoSonjaWMFCBulk,items,item,,,,,,,,,リサイクル バルクマイクロフュージョンセル,,,,,,,
recycledAmmoSonjaWMFCMax,items,item,,,,,,,,,リサイクル マックスチャージマイクロフュージョンセル,,,,,,,
recycledAmmoSonjaWEC2,items,item,,,,,,,,,リサイクル 電磁カートリッジ,,,,,,,
recycledAmmoSonjaWPEC,items,item,,,,,,,,,リサイクル プラズマセル,,,,,,,
recycledAmmoSonjaWPECBulk,items,item,,,,,,,,,リサイクル バルクプラズマセル,,,,,,,
recycledAmmoSonjaWPECMax,items,item,,,,,,,,,リサイクル マックスチャージプラズマセル,,,,,,,
recycledAmmoSonjaWPMFC,items,item,,,,,,,,,リサイクル プラズマ・マイクロフュージョンセル,,,,,,,
recycledAmmoSonjaWPMFCBulk,items,item,,,,,,,,,リサイクル バルクプラズマ・マイクロフュージョンセル,,,,,,,
recycledAmmoSonjaWPMFCMax,items,item,,,,,,,,,リサイクル マックスチャージプラズマ・マイクロフュージョンセル,,,,,,,
recycledAmmoSonjaW40mmAP,items,item,,,,,,,,,リサイクル 40mm AP榴弾グレネード,,,,,,,
recycledAmmoSonjaW40mmHE,items,item,,,,,,,,,リサイクル 40mm HE榴弾グレネード,,,,,,,
recycledAmmoSonjaW40mmSmoke,items,item,,,,,,,,,リサイクル 40mm 発煙グレネード,,,,,,,
recycledAmmoSonjaWNuke,items,item,,,,,,,,,リサイクル ニューク,,,,,,,
recycledAmmoSonjaWNukeAP,items,item,,,,,,,,,リサイクル AP ニューク,,,,,,,
recycledAmmoSonjaRB40mmGAmmo,items,item,,,,,,,,,リサイクル 40mm グレネード,,,,,,,
recycledAmmoSonjaRB40mmGAmmoFrag,items,item,,,,,,,,,リサイクル 40mm フラググレネード,,,,,,,
recycledAmmoSonjaSteel9mm,items,item,,,,,,,,,リサイクル 9mm弾 Steel,,,,,,,
recycledAmmoSonjaSteel44,items,item,,,,,,,,,リサイクル .44弾 Steel,,,,,,,
recycledAmmoSonjaSteel762,items,item,,,,,,,,,リサイクル 7.62弾 Steel,,,,,,,
recycledAmmoSonjaEA9mmJHP,items,item,,,,,,,,,リサイクル 9mm弾 JHP,,,,,,,
recycledAmmoSonjaEA9mmFMJ,items,item,,,,,,,,,リサイクル 9mm弾 FMJ,,,,,,,
recycledAmmoSonjaEA44JHP,items,item,,,,,,,,,リサイクル .44弾 JHP,,,,,,,
recycledAmmoSonjaEA44FMJ,items,item,,,,,,,,,リサイクル .44弾 FMJ,,,,,,,
recycledAmmoSonjaEA762JHP,items,item,,,,,,,,,リサイクル 7.62弾 JHP,,,,,,,
